"STANDARDNA PORABNIŠKA SKUPINA (LETNA PORABA)","CENA","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4"
"DA (<1000 KWh)","Energija",0.0627,0.0656,0.0673,0.0671,0.0644,0.0644,0.0647,0.0640,0.0690,0.0628,0.0612,0.0594,0.0590,0.0582,0.0586,0.0569,0.0586,0.0583,0.0584,0.0574,0.0565,0.0560,0.0562,0.0554,0.0581,0.0584,0.0615,0.0579,0.0611,0.0620,0.0628,0.0610,0.0663,0.0697,0.0761,0.0702,0.0708,0.0755,0.0809,0.0721
"DA (<1000 KWh)","Omrežnina",0.0973,0.1008,0.1044,0.0965,0.0913,0.0955,0.1014,0.0920,0.0925,0.0960,0.0902,0.0722,0.0581,0.0592,0.0591,0.0578,0.0579,0.0595,0.0599,0.0578,0.0958,0.1037,0.1054,0.0873,0.1308,0.1279,0.1259,0.1067,0.1262,0.1225,0.1212,0.1017,0.0949,0.0642,0.1194,0.0932,0.1193,0.1202,0.1172,0.0917
"DA (<1000 KWh)","Brez davkov",0.1599,0.1665,0.1717,0.1636,0.1557,0.1599,0.1661,0.1560,0.1615,0.1588,0.1514,0.1317,0.1170,0.1174,0.1177,0.1147,0.1165,0.1178,0.1183,0.1152,0.1523,0.1596,0.1616,0.1427,0.1889,0.1864,0.1874,0.1646,0.1873,0.1846,0.1840,0.1627,0.1612,0.1339,0.1955,0.1634,0.1901,0.1957,0.1981,0.1639
"DA (<1000 KWh)","Dodatki in prispevki",0.0206,0.0217,0.0228,0.0206,0.0361,0.0477,0.0522,0.0451,0.0458,0.0486,0.0442,0.0306,0.0633,0.0617,0.0727,0.0616,0.0348,0.0367,0.0381,0.0343,0.0595,0.0670,0.0647,0.0515,0.0920,0.0894,0.0873,0.0693,0.0911,0.0877,0.0863,0.0675,0.0635,0.0330,0.0879,0.0619,0.0912,0.0922,0.0891,0.0632
"DA (<1000 KWh)","Brez DDV",0.1805,0.1882,0.1945,0.1842,0.1918,0.2076,0.2183,0.2011,0.2074,0.2074,0.1956,0.1623,0.1804,0.1791,0.1904,0.1763,0.1513,0.1545,0.1564,0.1495,0.2117,0.2266,0.2263,0.1942,0.2810,0.2758,0.2748,0.2339,0.2784,0.2722,0.2702,0.2302,0.2247,0.1668,0.2834,0.2254,0.2812,0.2879,0.2872,0.2271
"DA (<1000 KWh)","Z vsemi davki",0.2166,0.2258,0.2334,0.2211,0.2302,0.2491,0.2619,0.2454,0.2530,0.2530,0.2386,0.1980,0.2201,0.2185,0.2323,0.2151,0.1846,0.1885,0.1908,0.1824,0.2583,0.2765,0.2761,0.2369,0.3428,0.3364,0.3352,0.2854,0.3397,0.3321,0.3297,0.2809,0.2741,0.2036,0.3457,0.2749,0.3431,0.3512,0.3504,0.2770
"DB (1000 do <2500 KWh)","Energija",0.0611,0.0631,0.0639,0.0640,0.0627,0.0635,0.0641,0.0637,0.0635,0.0601,0.0596,0.0595,0.0586,0.0585,0.0588,0.0583,0.0562,0.0568,0.0571,0.0560,0.0538,0.0552,0.0557,0.0545,0.0559,0.0558,0.0595,0.0581,0.0601,0.0606,0.0612,0.0623,0.0654,0.0673,0.0707,0.0692,0.0683,0.0709,0.0734,0.0709
"DB (1000 do <2500 KWh)","Omrežnina",0.0697,0.0714,0.0714,0.0695,0.0679,0.0699,0.0711,0.0685,0.0685,0.0705,0.0713,0.0686,0.0680,0.0695,0.0703,0.0669,0.0694,0.0714,0.0729,0.0688,0.0688,0.0720,0.0724,0.0682,0.0703,0.0734,0.0739,0.0697,0.0682,0.0705,0.0718,0.0673,0.0552,0.0457,0.0690,0.0630,0.0631,0.0663,0.0683,0.0624
"DB (1000 do <2500 KWh)","Brez davkov",0.1308,0.1345,0.1354,0.1334,0.1306,0.1333,0.1351,0.1322,0.1320,0.1306,0.1310,0.1282,0.1266,0.1280,0.1291,0.1252,0.1257,0.1282,0.1300,0.1248,0.1226,0.1272,0.1282,0.1227,0.1261,0.1292,0.1334,0.1278,0.1283,0.1310,0.1331,0.1296,0.1205,0.1130,0.1396,0.1321,0.1314,0.1372,0.1418,0.1333
"DB (1000 do <2500 KWh)","Dodatki in prispevki",0.0128,0.0134,0.0134,0.0129,0.0221,0.0284,0.0294,0.0274,0.0277,0.0293,0.0299,0.0278,0.0279,0.0291,0.0339,0.0328,0.0348,0.0367,0.0381,0.0343,0.0338,0.0368,0.0415,0.0332,0.0347,0.0377,0.0381,0.0341,0.0349,0.0372,0.0384,0.0341,0.0242,0.0148,0.0378,0.0318,0.0342,0.0375,0.0395,0.0335
