"STANDARDNA PORABNIŠKA SKUPINA (LETNA PORABA)","ENOTA","CENA","2012Q1","2012Q2","2012Q3","2012Q4","2013Q1","2013Q2","2013Q3","2013Q4","2014Q1","2014Q2","2014Q3","2014Q4","2015Q1","2015Q2","2015Q3","2015Q4","2016Q1","2016Q2","2016Q3","2016Q4","2017Q1","2017Q2","2017Q3","2017Q4","2018Q1","2018Q2","2018Q3","2018Q4","2019Q1","2019Q2","2019Q3","2019Q4","2020Q1","2020Q2","2020Q3","2020Q4","2021Q1","2021Q2","2021Q3","2021Q4"
"I1 (do 1000 GJ)","EUR / GJ","Brez davkov",17.0099,20.7174,25.9057,15.0936,14.2930,16.7398,20.8792,13.6466,11.2173,14.9216,10.6476,11.9588,12.3366,15.0776,14.9275,12.3688,11.6776,12.9161,12.0478,11.1788,10.3330,12.6110,12.9789,9.7919,10.7145,13.0339,12.5131,11.4671,11.1887,11.5867,13.5491,11.0992,10.6337,11.1710,11.5559,10.3346,9.8419,10.7959,12.8034,11.8534
"I1 (do 1000 GJ)","EUR / GJ","Brez DDV",18.2471,21.9545,27.1428,16.3308,15.6243,18.0710,22.2104,14.9778,12.5486,16.2946,12.1142,13.4255,14.0784,16.7340,15.8795,14.0982,13.1163,14.3205,13.3135,12.4318,12.0185,14.3317,14.7181,11.3114,12.4109,14.7495,14.3316,13.1962,12.8758,13.3629,15.3031,12.8754,12.3355,12.7605,13.0687,12.0137,11.5787,12.5850,14.5878,13.5873
"I1 (do 1000 GJ)","EUR / GJ","Z vsemi davki",21.8965,26.3454,32.5714,19.5969,18.7491,21.6852,27.0967,18.2730,15.3093,19.8794,14.7793,16.3791,17.1756,20.4155,19.3730,17.1998,16.0019,17.4710,16.2424,15.1668,14.6625,17.4847,17.9561,13.7999,15.1413,17.9944,17.4845,16.0994,15.7084,16.3028,18.6698,15.7080,15.0493,15.5678,15.9438,14.6567,14.1260,15.3536,17.7971,16.5766
"I1 (do 1000 GJ)","EUR/Sm3","Brez davkov",0.6435,0.7837,0.9800,0.5710,0.5407,0.6332,0.7898,0.5162,0.4243,0.5645,0.4028,0.4524,0.4667,0.5704,0.5647,0.4679,0.4418,0.4886,0.4558,0.4229,0.3909,0.4771,0.4910,0.3704,0.4053,0.4931,0.4734,0.4338,0.4233,0.4383,0.5125,0.4199,0.4023,0.4226,0.4371,0.3909,0.3723,0.4084,0.4843,0.4484
"I1 (do 1000 GJ)","EUR/Sm3","Brez DDV",0.6903,0.8305,1.0268,0.6178,0.5910,0.6836,0.8402,0.5666,0.4747,0.6164,0.4583,0.5079,0.5326,0.6330,0.6007,0.5333,0.4962,0.5417,0.5036,0.4703,0.4546,0.5422,0.5568,0.4279,0.4695,0.5580,0.5421,0.4992,0.4871,0.5055,0.5789,0.4871,0.4666,0.4827,0.4944,0.4545,0.4380,0.4761,0.5518,0.5140
"I1 (do 1000 GJ)","EUR/Sm3","Z vsemi davki",0.8283,0.9966,1.2321,0.7413,0.7093,0.8203,1.0250,0.6912,0.5791,0.7520,0.5591,0.6196,0.6497,0.7723,0.7329,0.6506,0.6053,0.6609,0.6144,0.5737,0.5547,0.6614,0.6793,0.5220,0.5728,0.6807,0.6614,0.6090,0.5942,0.6167,0.7063,0.5942,0.5693,0.5889,0.6031,0.5544,0.5344,0.5808,0.6732,0.6271
"I1 (do 1000 GJ)","EUR/kWh","Brez davkov",0.0612,0.0746,0.0933,0.0543,0.0515,0.0603,0.0752,0.0491,0.0404,0.0537,0.0383,0.0431,0.0444,0.0543,0.0537,0.0445,0.0420,0.0465,0.0434,0.0402,0.0372,0.0454,0.0467,0.0353,0.0386,0.0469,0.0450,0.0413,0.0403,0.0417,0.0488,0.0400,0.0383,0.0402,0.0416,0.0372,0.0354,0.0389,0.0461,0.0427
"I1 (do 1000 GJ)","EUR/kWh","Brez DDV",0.0657,0.0790,0.0977,0.0588,0.0562,0.0651,0.0800,0.0539,0.0452,0.0587,0.0436,0.0483,0.0507,0.0602,0.0572,0.0508,0.0472,0.0516,0.0479,0.0448,0.0433,0.0516,0.0530,0.0407,0.0447,0.0531,0.0516,0.0475,0.0464,0.0481,0.0551,0.0464,0.0444,0.0459,0.0470,0.0432,0.0417,0.0453,0.0525,0.0489
"I1 (do 1000 GJ)","EUR/kWh","Z vsemi davki",0.0788,0.0948,0.1173,0.0705,0.0675,0.0781,0.0975,0.0658,0.0551,0.0716,0.0532,0.0590,0.0618,0.0735,0.0697,0.0619,0.0576,0.0629,0.0585,0.0546,0.0528,0.0629,0.0646,0.0497,0.0545,0.0648,0.0629,0.0580,0.0566,0.0587,0.0672,0.0565,0.0542,0.0560,0.0574,0.0528,0.0509,0.0553,0.0641,0.0597
"I2 (1 000 do <10 000 GJ)","EUR / GJ","Brez davkov",15.9611,17.8768,20.5104,14.7951,13.7197,14.8729,16.2910,12.5500,12.8762,15.6030,11.6187,11.2183,11.4130,14.5984,15.0056,11.9933,11.1134,12.9645,12.7235,10.2017,8.7758,10.4806,11.8587,9.7126,9.6957,11.2353,12.1609,10.5796,10.8697,10.8840,12.6818,10.2223,9.5886,10.4608,11.6927,9.1477,8.6544,9.7589,11.4922,12.1255
