"POSTAVKA","1996 Elektrarne po glavni dejavnosti","1996 Samoproizvajalci","1996 Male zasebne hidroelektrarne","1996 Skupaj","1997 Elektrarne po glavni dejavnosti","1997 Samoproizvajalci","1997 Male zasebne hidroelektrarne","1997 Skupaj","1998 Elektrarne po glavni dejavnosti","1998 Samoproizvajalci","1998 Male zasebne hidroelektrarne","1998 Skupaj","1999 Elektrarne po glavni dejavnosti","1999 Samoproizvajalci","1999 Male zasebne hidroelektrarne","1999 Skupaj","2000 Elektrarne po glavni dejavnosti","2000 Samoproizvajalci","2000 Male zasebne hidroelektrarne","2000 Skupaj","2001 Elektrarne po glavni dejavnosti","2001 Samoproizvajalci","2001 Male zasebne hidroelektrarne","2001 Skupaj","2002 Elektrarne po glavni dejavnosti","2002 Samoproizvajalci","2002 Male zasebne hidroelektrarne","2002 Skupaj","2003 Elektrarne po glavni dejavnosti","2003 Samoproizvajalci","2003 Male zasebne hidroelektrarne","2003 Skupaj","2004 Elektrarne po glavni dejavnosti","2004 Samoproizvajalci","2004 Male zasebne hidroelektrarne","2004 Skupaj","2005 Elektrarne po glavni dejavnosti","2005 Samoproizvajalci","2005 Male zasebne hidroelektrarne","2005 Skupaj","2006 Elektrarne po glavni dejavnosti","2006 Samoproizvajalci","2006 Male zasebne hidroelektrarne","2006 Skupaj","2007 Elektrarne po glavni dejavnosti","2007 Samoproizvajalci","2007 Male zasebne hidroelektrarne","2007 Skupaj","2008 Elektrarne po glavni dejavnosti","2008 Samoproizvajalci","2008 Male zasebne hidroelektrarne","2008 Skupaj","2009 Elektrarne po glavni dejavnosti","2009 Samoproizvajalci","2009 Male zasebne hidroelektrarne","2009 Skupaj","2010 Elektrarne po glavni dejavnosti","2010 Samoproizvajalci","2010 Male zasebne hidroelektrarne","2010 Skupaj","2011 Elektrarne po glavni dejavnosti","2011 Samoproizvajalci","2011 Male zasebne hidroelektrarne","2011 Skupaj","2012 Elektrarne po glavni dejavnosti","2012 Samoproizvajalci","2012 Male zasebne hidroelektrarne","2012 Skupaj","2013 Elektrarne po glavni dejavnosti","2013 Samoproizvajalci","2013 Male zasebne hidroelektrarne","2013 Skupaj","2014 Elektrarne po glavni dejavnosti","2014 Samoproizvajalci","2014 Male zasebne hidroelektrarne","2014 Skupaj","2015 Elektrarne po glavni dejavnosti","2015 Samoproizvajalci","2015 Male zasebne hidroelektrarne","2015 Skupaj","2016 Elektrarne po glavni dejavnosti","2016 Samoproizvajalci","2016 Male zasebne hidroelektrarne","2016 Skupaj","2017 Elektrarne po glavni dejavnosti","2017 Samoproizvajalci","2017 Male zasebne hidroelektrarne","2017 Skupaj","2018 Elektrarne po glavni dejavnosti","2018 Samoproizvajalci","2018 Male zasebne hidroelektrarne","2018 Skupaj","2019 Elektrarne po glavni dejavnosti","2019 Samoproizvajalci","2019 Male zasebne hidroelektrarne","2019 Skupaj","2020 Elektrarne po glavni dejavnosti","2020 Samoproizvajalci","2020 Male zasebne hidroelektrarne","2020 Skupaj"
"Proizvodnja na generatorju-SKUPAJ (GWh)",12239.000,410.000,88.000,12737.000,12687.000,418.000,73.000,13178.000,13175.000,431.000,99.000,13705.000,12642.000,526.000,93.000,13261.000,12988.000,546.000,90.000,13624.000,13834.000,524.000,109.000,14467.000,14109.000,396.000,94.000,14599.000,13355.000,386.000,79.000,13820.000,14664.000,457.000,151.000,15272.000,14529.000,432.000,156.000,15117.000,14549.000,382.000,184.000,15115.000,14499.000,367.000,177.000,15043.000,15859.000,359.000,180.000,16398.000,15935.000,402.000,66.000,16403.000,15969.000,403.000,68.000,16440.000,15622.000,391.000,46.000,16059.000,15202.000,481.000,53.000,15736.000,15481.000,547.000,75.000,16103.000,16687.000,632.000,118.000,17437.000,14412.000,611.000,77.000,15100.000,15746.000,614.000,140.000,16500.000,15594.811,615.147,116.267,16326.225,15603.285,588.450,135.199,16326.935,15330.547,638.152,130.865,16099.564,16340.023,715.963,134.712,17190.698
"Proizvodnja na generatorju-hidroelektrarne-SKUPAJ (GWh)",3479.000,100.000,88.000,3667.000,2945.000,74.000,73.000,3092.000,3263.000,87.000,99.000,3449.000,3541.000,105.000,93.000,3739.000,3648.000,96.000,90.000,3834.000,3587.000,100.000,109.000,3796.000,3148.000,71.000,94.000,3313.000,2822.000,57.000,79.000,2958.000,3856.000,87.000,151.000,4094.000,3236.000,68.000,156.000,3460.000,3342.000,65.000,184.000,3591.000,3024.000,65.000,177.000,3266.000,3758.000,80.000,180.000,4018.000,4550.000,98.000,66.000,4714.000,4537.000,99.000,68.000,4704.000,3581.000,79.000,46.000,3706.000,3961.000,73.000,53.000,4087.000,4757.000,91.000,75.000,4923.000,6138.000,110.000,118.000,6366.000,3937.000,77.000,77.000,4091.000,4555.000,87.000,140.000,4782.000,3951.688,72.965,116.267,4140.920,4671.679,86.115,135.199,4892.993,4469.858,81.815,130.865,4682.538,5006.958,83.074,134.712,5224.743
"Proizvodnja na generatorju-hidroelektrarne do 1 MW (GWh)",0.000,0.000,88.000,88.000,0.000,0.000,73.000,73.000,0.000,0.000,99.000,99.000,0.000,0.000,93.000,93.000,55.000,24.000,90.000,169.000,63.000,25.000,109.000,197.000,52.000,20.000,94.000,166.000,46.000,16.000,79.000,141.000,66.000,21.000,151.000,238.000,60.000,20.000,156.000,236.000,63.000,26.000,184.000,273.000,59.000,24.000,177.000,260.000,68.000,17.000,180.000,265.000,69.000,27.000,66.000,162.000,75.000,39.000,68.000,182.000,56.000,29.000,46.000,131.000,56.000,32.000,53.000,141.000,73.000,38.000,75.000,186.000,86.000,42.000,118.000,246.000,64.000,33.000,77.000,174.000,71.000,35.000,140.000,246.000,56.476,28.963,116.267,201.706,62.479,34.067,135.199,231.744,68.387,33.755,130.865,233.007,66.463,33.661,134.712,234.835
"Proizvodnja na generatorju-hidroelektrarne od 1 do 10 MW (GWh)",0.000,0.000,-,0.000,0.000,0.000,-,0.000,0.000,0.000,-,0.000,0.000,0.000,-,0.000,99.000,72.000,-,171.000,99.000,75.000,-,174.000,110.000,51.000,-,161.000,86.000,41.000,-,127.000,133.000,66.000,-,199.000,99.000,48.000,-,147.000,113.000,38.000,-,151.000,108.000,41.000,-,149.000,129.000,63.000,-,192.000,147.000,71.000,-,218.000,154.000,60.000,-,214.000,114.000,50.000,-,164.000,121.000,41.000,-,162.000,140.000,53.000,-,193.000,182.000,68.000,-,250.000,109.000,44.000,-,153.000,134.000,52.000,-,186.000,118.538,44.002,-,162.540,128.755,52.048,-,180.803,120.543,48.060,-,168.603,132.054,49.413,-,181.467
"Proizvodnja na generatorju-hidroelektrarne nad 10 MW (GWh)",0.000,-,-,0.000,0.000,-,-,0.000,0.000,-,-,0.000,0.000,-,-,0.000,3495.000,-,-,3495.000,3425.000,-,-,3425.000,2986.000,-,-,2986.000,2690.000,-,-,2690.000,3658.000,-,-,3658.000,3078.000,-,-,3078.000,3166.000,-,-,3166.000,2856.000,-,-,2856.000,3561.000,-,-,3561.000,4334.000,-,-,4334.000,4307.000,-,-,4307.000,3411.000,-,-,3411.000,3784.000,-,-,3784.000,4544.000,-,-,4544.000,5870.000,-,-,5870.000,3764.000,-,-,3764.000,4350.000,-,-,4350.000,3776.674,-,-,3776.674,4480.445,-,-,4480.445,4280.928,-,-,4280.928,4808.441,-,-,4808.441
"Proizvodnja na generatorju-termoelektrarne (GWh)",4198.000,309.000,-,4507.000,4723.000,345.000,-,5068.000,4893.000,344.000,-,5237.000,4405.000,422.000,-,4827.000,4579.000,450.000,-,5029.000,4990.000,424.000,-,5414.000,5433.000,325.000,-,5758.000,5327.000,330.000,-,5657.000,5349.000,370.000,-,5719.000,5408.000,364.000,-,5772.000,5659.000,317.000,-,5976.000,5780.000,302.000,-,6082.000,5828.000,279.000,-,6107.000,5645.000,300.000,-,5945.000,5774.000,293.000,-,6067.000,5825.000,248.000,-,6073.000,5707.000,251.000,-,5958.000,5414.000,247.000,-,5661.000,4168.000,272.000,-,4440.000,4813.000,268.000,-,5081.000,5463.000,267.000,-,5730.000,5344.165,266.285,-,5610.450,5141.910,254.610,-,5396.521,5025.695,260.885,-,5286.580,4965.681,273.061,-,5238.742
"Proizvodnja na generatorju-jedrska elektrarna (GWh)",4562.000,-,-,4562.000,5019.000,-,-,5019.000,5019.000,-,-,5019.000,4696.000,-,-,4696.000,4761.000,-,-,4761.000,5257.000,-,-,5257.000,5528.000,-,-,5528.000,5207.000,-,-,5207.000,5459.000,-,-,5459.000,5884.000,-,-,5884.000,5548.000,-,-,5548.000,5695.000,-,-,5695.000,6273.000,-,-,6273.000,5739.000,-,-,5739.000,5657.000,-,-,5657.000,6215.000,-,-,6215.000,5528.000,-,-,5528.000,5300.000,-,-,5300.000,6370.000,-,-,6370.000,5648.000,-,-,5648.000,5715.000,-,-,5715.000,6285.272,-,-,6285.272,5776.439,-,-,5776.439,5821.257,-,-,5821.257,6352.766,-,-,6352.766
"Proizvodnja na generatorju-sončne elektrarne (GWh)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000,0.000,-,0.000,1.000,3.000,-,4.000,1.000,12.000,-,13.000,2.000,63.000,-,65.000,5.000,157.000,-,162.000,6.000,209.000,-,215.000,7.000,250.000,-,257.000,8.000,266.000,-,274.000,7.000,260.000,-,267.000,7.970,275.897,-,283.867,7.236,247.725,-,254.961,7.587,295.452,-,303.039,8.367,359.829,-,368.196
"Proizvodnja na generatorju-vetrne elektrarne (GWh)",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.000,-,-,0.000,0.000,-,-,0.000,0.000,-,-,0.000,1.000,-,-,1.000,4.000,-,-,4.000,4.000,-,-,4.000,6.000,-,-,6.000,6.000,-,-,6.000,5.716,-,-,5.716,6.021,-,-,6.021,6.150,-,-,6.150,6.251,-,-,6.251
"Lastna raba",728.000,36.000,1.000,765.000,793.000,35.000,1.000,829.000,810.000,40.000,0.000,850.000,757.000,47.000,1.000,805.000,786.000,42.000,1.000,829.000,847.000,27.000,1.000,875.000,881.000,24.000,1.000,906.000,897.000,27.000,1.000,925.000,923.000,39.000,1.000,963.000,939.000,28.000,0.000,967.000,969.000,28.000,1.000,998.000,972.000,27.000,1.000,1000.000,1014.000,26.000,1.000,1041.000,986.000,41.000,1.000,1028.000,991.000,39.000,0.000,1030.000,1026.000,32.000,0.000,1058.000,1000.000,31.000,0.000,1031.000,952.000,33.000,1.000,986.000,921.000,29.000,1.000,951.000,884.000,29.000,0.000,913.000,927.000,27.000,0.000,954.000,901.693,27.076,0.581,929.350,856.711,27.578,0.676,884.965,847.298,27.258,0.654,875.210,875.076,25.274,0.674,901.024
